SSN;Name;Role;Email;Mobile;Landline;Address;License
1701728949;James Jamesson;crew;james@nanair.is;5398234;2375937;Frostafold 57;None
2701886957;Lars Carmon;pilot;lars@nanair.is;6749583;6559463;Frostafold 56;NAFokkerF100
3009907461;William Carillo;pilot;Willia@nanair.is;8998801;4624026;Fellsmúli 1;NAFokkerF100
2910858778;Virginia Ho;pilot;Virgin@nanair.is;8998802;4624027;Fellsmúli 2;NABAE146
2706838569;Gerard Nelson;pilot;Gerard@nanair.is;8998803;4624028;Fellsmúli 3;NAFokkerF100
2209955782;Allen Ley;pilot;Allen@nanair.is;8998804;4624029;Fellsmúli 4;NABAE146
2907675667;Felecia Moye;pilot;Feleci@nanair.is;8998805;4624030;Fellsmúli 5;NABAE146
1309797899;Tyler Anderson;pilot;Tyler@nanair.is;8998806;4624031;Fellsmúli 6;NAFokkerF28
2410876598;Nan Gage;pilot;Nan_Ga@nanair.is;8998807;4624032;Fellsmúli 7;NAFokkerF100
2211658134;Charla Johnson;pilot;Charla@nanair.is;8998808;4624033;Fellsmúli 8;NABAE146
2504939263;Sam Preciado;pilot;Sam_Pr@nanair.is;8998809;4624034;Fellsmúli 9;NABAE146
1900769521;Jasmine Hagadone;pilot;Jasmin@nanair.is;8998810;4624035;Fellsmúli 10;NABAE146
2500812671;Anna Phillips;pilot;AnnaP@nanair.is;8998811;4624036;Fellsmúli 11;NAFokkerF28
1309927223;Patricia Bates;pilot;krissi@NaNair.is;8998812;4624037;Fellsmúli 12;NAFokkerF28
1600904199;Sherry Walker;crew;Sherry@nanair.is;8998813;4624038;Fellsmúli 13;None
0303758167;Margarita Fischer;crew;Margari@nanair.is;8998814;4624039;Fellsmúli 14;None
2200763823;Judith Aleshire;crew;Judith@nanair.is;8998815;4624040;Fellsmúli 15;None
1308941169;Jacob Blecha;crew;Jacob@nanair.is;8998816;4624041;Fellsmúli 16;None
1405853585;Lula Stefani;crew;LulaS@nanair.is;8998817;4624042;Fellsmúli 17;None
0909862878;Richard Sanders;crew;Richard@nanair.is;8998818;4624043;Fellsmúli 18;None
1811931544;John Kline;crew;Johnk@nanair.is;8998819;4624044;Fellsmúli 19;None
0409858797;Evelyn Pickhardt;crew;Evelyn@nanair.is;8998820;4624045;Fellsmúli 20;None
3002688722;Stacey Henrickson;crew;Stacey@nanair.is;8998821;4624046;Fellsmúli 21;None
3003962187;Delores Whitfield;crew;Delore@nanair.is;8998822;4624047;Fellsmúli 22;None
1311772221;Maribel Lucero;crew;Maribe@nanair.is;8998823;4624048;Fellsmúli 23;None
2509913418;Katherine Wernimont;crew;Kather@nanair.is;8998824;4624049;Fellsmúli 24;None
1103647756;Wilma Horne;crew;Wilma@nanair.is;8998825;4624050;Fellsmúli 25;None
2807755841;Bernard Carr;crew;Bernar@nanair.is;8998826;4624051;Fellsmúli 26;None
0409907212;Sara Davis;crew;Sara_Da@nanair.is;8998827;4624052;Fellsmúli 27;None
1103912131;Robert Swope;crew;Robert@nanair.is;8998828;4624053;Fellsmúli 28;None
2801645554;John Iversen;crew;JohnI@nanair.is;8998829;4624054;Fellsmúli 29;None
1501681497;Rhonda Forman;crew;Rhonda@nanair.is;8998830;4624055;Fellsmúli 30;None
1811813379;Melissa Paquette;crew;Meliss@nanair.is;8998831;4624056;Fellsmúli 31;None
0505942924;Carlton Chan;crew;Carlton@nanair.is;8998832;4624057;Fellsmúli 32;None
1110732819;Arthur Karr;crew;Arthur@nanair.is;8998833;4624058;Fellsmúli 33;None
2602806942;Teresa Thruman;crew;Teresa@nanair.is;8998834;4624059;Fellsmúli 34;None
1107951952;Elizabeth Mcfadden;crew;Elizab@nanair.is;8998835;4624060;Fellsmúli 35;None
